"filename", "language", "JavaScript", "JSON with Comments", "JSON", "Markdown", "TypeScript React", "TypeScript", "pip requirements", "Python", "HTML", "comment", "blank", "total"
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/server/interface.py", "Python", 0, 0, 0, 0, 0, 0, 0, 38, 0, 4, 9, 51
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/server/logger.py", "Python", 0, 0, 0, 0, 0, 0, 0, 40, 0, 4, 14, 58
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/server/main.py", "Python", 0, 0, 0, 0, 0, 0, 0, 41, 0, 5, 18, 64
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/server/network/network_definitions.py", "Python", 0, 0, 0, 0, 0, 0, 0, 10, 0, 1, 4, 15
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/server/network/server_socket.py", "Python", 0, 0, 0, 0, 0, 0, 0, 67, 0, 2, 21, 90
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/server/objectives_data/hierarchy.json", "JSON", 0, 0, 467, 0, 0, 0, 0, 0, 0, 0, 65, 532
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/server/objectives_data/nbs.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/server/requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 8
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/server/subjects/subject.py", "Python", 0, 0, 0, 0, 0, 0, 0, 19, 0, 1, 6, 26
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/server/subjects/subjects_manager.py", "Python", 0, 0, 0, 0, 0, 0, 0, 24, 0, 3, 9, 36
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/apis/ServerCom.ts", "TypeScript", 0, 0, 0, 0, 0, 104, 0, 0, 0, 11, 22, 137
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/App.test.tsx", "TypeScript React", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/App.tsx", "TypeScript React", 0, 0, 0, 0, 139, 0, 0, 0, 0, 0, 8, 147
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/Collapsible.tsx", "TypeScript React", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 4, 51
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/Main.tsx", "TypeScript React", 0, 0, 0, 0, 214, 0, 0, 0, 0, 0, 13, 227
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/analysis/FileExplorer.tsx", "TypeScript React", 0, 0, 0, 0, 126, 0, 0, 0, 0, 0, 7, 133
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/analysis/NbsSystemType.tsx", "TypeScript React", 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 6, 83
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/analysis/ObjectiveHierarchy.tsx", "TypeScript React", 0, 0, 0, 0, 884, 0, 0, 0, 0, 9, 66, 959
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/analysis/Parameters.tsx", "TypeScript React", 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 6, 100
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/analysis/StudyArea.tsx", "TypeScript React", 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 6, 81
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/analysis/ValueScaling.tsx", "TypeScript React", 0, 0, 0, 0, 254, 0, 0, 0, 0, 4, 19, 277
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/analysis/Weighting.tsx", "TypeScript React", 0, 0, 0, 0, 201, 0, 0, 0, 0, 0, 20, 221
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/analysis/index.ts", "TypeScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 2, 16
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/aside-informations/InformationCard.tsx", "TypeScript React", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/aside-informations/MapCursorInformation.tsx", "TypeScript React", 0, 0, 0, 0, 82, 0, 0, 0, 0, 18, 5, 105
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/aside-informations/MapLegend.tsx", "TypeScript React", 0, 0, 0, 0, 98, 0, 0, 0, 0, 1, 9, 108
